d(A),Int,h,k,l
2.412,61,1,1,1
2.089,100,2,0,0
1.4768,35,2,2,0
1.2594,13,3,1,1
1.205,8,2,2,2
1.044,4,4,0,0
0.9583,3,3,3,1
0.934,7,4,2,0
