d(A),Int,h,k,l
2.3380,100,1,1,1
2.0240,47,2,0,0
1.4310,22,2,2,0
1.2210,24,3,1,1
1.1690,7,2,2,2
1.0124,2,4,0,0
0.92890,8,3,3,1
0.90550,8,4,2,0
0.82660,8,4,2,2
