r.px, i
461,2295.43
462,2288.99
463,2279.48
464,2268.18
465,2257.99
466,2249.38
467,2242.88
468,2238.39
469,2232.18
470,2225.83
471,2218.06
472,2211.82
473,2205.72
474,2199.7
475,2192.26
476,2187.04
477,2183.68
478,2179.02
479,2171.46
480,2167.21
481,2162.99
482,2155.4
483,2150.6
484,2147.77
485,2146
486,2144.36
487,2141.58
488,2135.32
489,2132.85
490,2131.42
491,2130.14
492,2128.51
493,2126.9
494,2125.23
495,2124.11
496,2121.96
497,2118.63
498,2118.65
499,2120.44
500,2120.7
501,2118.86
502,2117.4
503,2117
504,2115.85
505,2117.12
506,2120.8
507,2122.8
508,2124.21
509,2128.29
510,2131.73
511,2135.98
512,2141.58
513,2145.89
514,2149.67
515,2156.02
516,2162.26
517,2168.61
518,2176.25
519,2182.42
520,2189.49
521,2201.02
522,2214.32
523,2226.12
524,2237.92
525,2251.69
526,2267.7
527,2286.35
528,2304.23
529,2324.84
530,2348.63
531,2377.59
532,2410.92
533,2448.84
534,2494.43
535,2547.09
536,2608.29
537,2681.82
538,2775.1
539,2903.61
540,3088.99
541,3370.19
542,3798.42
543,4452.91
544,5461.35
545,7011.96
546,9266.79
547,12179.1
548,15410.6
549,18154.1
550,19743.7
551,19778
552,18180
553,15355.5
554,12152
555,9210.68
556,6959.46
557,5452.14
558,4488.22
559,3890.55
560,3529.72
561,3325.28
562,3211.34
563,3150.22
564,3118.22
565,3096.29
566,3070.93
567,3028.21
568,2964.35
569,2882.21
570,2788.14
571,2688.28
572,2585.58
573,2484.5
574,2394.25
575,2316.36
576,2254.57
577,2204.08
578,2157.19
579,2115.06
580,2076.82
581,2044.67
582,2016.8
583,1992.07
584,1968.87
585,1948.11
586,1929.29
587,1911.2
588,1895.11
589,1881.29
590,1867.96
591,1856.69
592,1843.47
593,1831.96
594,1820.68
595,1808.34
596,1797.8
597,1786.82
598,1776.18
599,1764.61
600,1752.18
601,1743.49
602,1736.69
603,1728.92
604,1720.29
605,1713.19
606,1705.51
607,1694.75
608,1685.57
609,1679.81
610,1673.79
611,1668.33
612,1662.07
613,1656.82
614,1652.14
615,1646.94
616,1639.48
617,1634.38
618,1631.48
619,1628.63
620,1627.33
621,1624.99
622,1623.81
623,1623.28
624,1621.93
625,1621.01
626,1621.79
627,1622.75
628,1626.3
629,1629.74
630,1634.26
631,1640.67
632,1650.02
633,1661.89
634,1678.65
635,1706.4
636,1749.85
637,1813.36
638,1907.36
639,2048.38
640,2253.31
641,2541.46
642,2928.31
643,3401.96
644,3886.07
645,4230.67
646,4303.63
647,4065.31
648,3627.57
649,3117.9
650,2662.98
651,2306.75
652,2050.01
653,1874.85
654,1757.48
655,1676.45
656,1619.22
657,1579.82
658,1553.43
659,1532.75
660,1515.77
661,1501.67
662,1488.36
663,1476.62
664,1468.46
665,1463.44
666,1461.44
667,1465.04
668,1475.17
669,1493.03
670,1520.32
671,1559.57
672,1602.65
673,1638.53
674,1649.81
675,1632.09
676,1591.05
677,1538.29
678,1484.89
679,1436.74
680,1396.9
681,1364.07
682,1337.29
683,1317.64
684,1301.69
685,1286.77
686,1275.83
687,1266.86
688,1256.6
689,1245.52
690,1233.86
691,1222.65
692,1213.31
693,1206.57
694,1201.87
695,1195.46
696,1188.16
697,1178.44
698,1167.89
699,1157.31
700,1147.2
701,1137.98
702,1129.27
703,1121.95
704,1115.34
705,1106.55
706,1098.13
707,1090.57
708,1083.55
709,1074.34
710,1064.49
711,1055.45
712,1047.56
713,1040.37
714,1030.63
715,1022.18
716,1014.98
717,1007.57
718,999.059
719,990.162
720,983.252
721,978.804
722,972.323
723,963.306
724,955.528
725,946.91
726,937.464
727,927.775
728,917.97
729,909.989
730,903.905
731,897.506
732,891.002
733,885.612
734,881.679
735,876.828
736,871.104
737,864.433
738,858.121
739,852.657
740,846.453
741,839.486
742,831.718
743,826.319
744,822.165
745,817.321
746,811.865
747,805.564
748,798.77
749,793.043
750,787.641
751,782.065
752,776.793
753,771.833
754,766.78
755,761.589
756,758.073
757,755.564
758,751.583
759,746.382
760,741.237
761,736.599
762,730.509
763,725.578
764,721.602
765,718.973
766,715.877
767,712.241
768,709.167
769,706.444
770,703.989
771,701.707
772,700.777
773,700.337
774,700.021
775,700.175
776,701.26
777,702.227
778,702.835
779,701.118
780,696.051
781,688.069
782,678.722
783,670.476
784,664.194
785,661.122
786,657.536
787,653.48
788,650.168
789,647.107
790,643.878
791,640.9
792,638.162
793,636.718
794,635.135
795,632.637
796,629.565
797,626.807
798,624.48
799,622.517
800,620.367
801,618.614
802,616.908
803,615.483
804,614.849
805,613.141
806,611.856
807,611.087
808,610.097
809,609.092
810,608.174
811,607.397
812,607.027
813,608.056
814,607.633
815,606.149
816,604.923
817,603.623
818,602.596
819,602.008
820,602.453
821,602.328
822,603.776
823,604.219
824,604.12
825,604.496
826,606.633
827,609.186
