r.px, i
510,122.59
511,122.735
512,123.422
513,123.514
514,123.534
515,124.301
516,124.79
517,125.023
518,125.509
519,125.86
520,126.364
521,127.457
522,128.503
523,129.355
524,129.317
525,129.189
526,130.067
527,131.742
528,133.086
529,134.984
530,136.606
531,137.965
532,139.922
533,142.727
534,146.059
535,148.945
536,151.588
537,154.841
538,160.476
539,168.761
540,180.149
541,196.988
542,222.18
543,260.089
544,318.07
545,404.239
546,527.488
547,692.087
548,884.098
549,1055.77
550,1153.91
551,1140.41
552,1025.6
553,861.328
554,693.566
555,543.958
556,427.217
557,343.889
558,286.669
559,247.691
560,221.735
561,205.966
562,195.894
563,189.951
564,186.952
565,184.662
566,182.042
567,178.298
568,174.114
569,168.592
570,162.804
571,156.705
572,150.933
573,145.513
574,140.583
575,136.246
576,132.731
577,129.994
578,126.97
579,123.928
580,121.312
581,118.996
582,117.15
583,115.378
584,113.404
585,111.602
586,110.419
587,109.502
588,108.541
589,107.611
590,106.658
591,105.829
592,105.718
593,105.973
594,105.45
595,104.03
596,102.947
597,102.261
598,101.885
599,101.686
600,100.942
601,99.9522
602,99.0497
603,97.8752
604,97.1655
605,97.2691
606,97.4504
607,97.0741
608,96.239
609,95.6476
610,95.1738
611,94.9221
612,95.0526
613,95.0496
614,94.9704
615,94.6972
616,94.8311
617,95.1748
618,94.5733
619,93.931
620,94.052
621,93.9162
622,93.6667
623,93.7243
624,93.436
625,93.4032
626,93.8563
627,93.9205
628,93.4775
629,93.0424
630,93.1421
631,93.964
632,95.0939
633,96.4227
634,97.5772
635,99.605
636,102.395
637,105.828
638,111.912
639,121.589
640,134.864
641,152.585
642,176.358
643,203.06
644,225.964
645,238.7
646,237.284
647,223.494
648,201.822
649,177.082
650,153.931
651,135.339
652,121.122
653,110.692
654,103.337
655,97.9199
656,94.1198
657,91.557
658,89.8279
659,88.1933
660,86.5832
661,85.0655
662,84.0782
663,83.6418
664,83.8322
665,84.1502
666,84.6854
667,84.8373
668,84.9895
669,85.2172
670,86.1844
671,88.3031
672,90.148
673,91.6323
674,92.124
675,92.2084
676,90.8148
677,88.2467
678,85.006
679,82.186
680,80.1093
681,78.5956
682,77.1692
683,75.9195
684,74.5595
685,73.4138
686,72.6335
687,71.7581
688,71.0726
689,70.5585
690,69.864
691,69.1835
692,68.7675
693,68.5664
694,68.2801
695,68.4632
696,68.5028
697,68.1655
698,66.8847
699,65.315
700,64.5703
701,64.6807
702,64.4443
703,63.4182
704,62.4699
705,61.8234
706,61.3524
707,60.7642
708,60.1177
709,59.371
710,58.6094
711,58.228
712,58.0642
713,57.7986
714,57.4419
715,57.5263
716,57.3097
717,56.5557
718,55.6291
719,55.1576
720,54.7354
721,54.1136
722,53.835
723,53.3405
724,52.5354
725,51.9688
726,51.7325
727,51.5505
728,51.1806
729,50.6192
730,50.4208
731,50.7442
732,50.6265
733,49.9482
734,49.3468
735,48.9962
736,48.5836
737,47.8353
738,47.4963
739,47.3226
740,47.0087
741,46.5979
742,46.2595
743,45.9822
744,45.3457
745,44.9149
746,44.5617
747,44.5577
748,44.2321
749,43.8222
750,43.5192
751,43.2182
752,42.9816
753,42.8927
754,42.7538
755,42.4647
756,42.213
757,41.755
758,41.2921
759,41.3212
760,41.3896
761,40.9925
762,40.7546
763,40.512
764,40.1052
765,39.5456
766,39.1534
767,38.6134
768,38.0324
769,38.0049
770,38.2858
771,38.6435
772,38.7873
773,38.6174
774,38.3495
775,38.3299
776,38.3971
777,38.3851
778,38.424
779,38.2064
780,38.1038
781,38.1066
782,37.6468
783,36.9
784,36.3937
785,36.2054
786,36.2015
787,35.9778
788,35.6889
789,35.4357
790,35.3255
791,35.1591
792,34.9083
793,34.5832
794,34.783
795,34.8787
796,34.6704
797,34.2167
798,33.9932
799,34.1938
800,34.3193
801,33.7248
802,33.2492
803,33.1946
804,33.2718
805,33.2375
806,33.0541
807,32.939
808,33.0889
809,33.3041
810,32.9518
811,32.2951
812,32.1417
813,32.3269
814,32.8401
815,33.0868
816,33.1995
817,33.2887
818,33.2726
819,33.1156
820,33.2959
821,33.5146
822,33.4428
823,33.0634
824,32.8314
825,32.4693
826,32.2614
827,32.596
828,32.9355
829,33.3071
830,33.7743
831,34.0285
832,34.4331
833,34.823
834,35.1936
835,35.8197
836,36.483
837,36.9367
838,37.6393
839,39.2019
840,41.6765
841,45.4107
842,49.8896
843,56.3309
844,65.7478
845,77.3023
846,90.0755
847,102.329
848,111.398
849,114.099
850,109.993
851,100.388
852,88.1549
853,75.7843
854,64.8608
855,56.6744
856,50.5912
857,45.8078
858,42.275
859,40.2167
860,39.0552
861,38.2125
862,37.6991
863,37.6827
864,38.2162
865,39.5898
866,41.8517
867,44.8
868,47.8569
869,50.4677
870,52.096
871,52.3867
872,51.3305
873,48.7586
874,45.1692
875,41.4234
876,38.3771
877,35.4948
878,33.128
879,31.5184
880,30.7584
881,30.2889
882,29.5338
883,28.6066
884,28.2911
885,28.4263
886,28.3605
887,28.0155
888,27.4951
889,27.2862
890,27.3931
891,27.5882
892,27.2793
893,26.8683
894,26.4289
895,26.1053
896,25.9322
897,25.7863
898,25.521
899,25.3875
