r.px, i
466,5660.14
467,5653.85
468,5649.79
469,5649.16
470,5654.79
471,5660.86
472,5666.52
473,5669.49
474,5673.26
475,5680.33
476,5693.79
477,5707.73
478,5721.85
479,5733.2
480,5743.92
481,5756.97
482,5774.63
483,5798.17
484,5825.29
485,5853.29
486,5882.29
487,5911.41
488,5947.18
489,5988.67
490,6029.62
491,6070.1
492,6114.33
493,6160.13
494,6209.63
495,6268.07
496,6332.91
497,6398.65
498,6465.75
499,6544.55
500,6638.86
501,6736.53
502,6840.92
503,6954.02
504,7077.81
505,7215.46
506,7357.64
507,7519.85
508,7699.91
509,7890.77
510,8099.61
511,8328.15
512,8582.71
513,8869.42
514,9196.83
515,9563.88
516,9964.96
517,10415.1
518,10926.4
519,11516.4
520,12187.5
521,12952.3
522,13831.3
523,14821.2
524,15925.3
525,17136.9
526,18432.1
527,19793.6
528,21149.8
529,22419.2
530,23532.3
531,24381.7
532,24889.2
533,24995.8
534,24714.1
535,24062.8
536,23119.6
537,21960.2
538,20657.7
539,19297.3
540,17953.9
541,16662.2
542,15453.5
543,14340.7
544,13324.9
545,12410.9
546,11602.4
547,10884.6
548,10249.1
549,9698.79
550,9211.81
551,8776.2
552,8388.99
553,8047.48
554,7747.59
555,7476.12
556,7233.89
557,7016.46
558,6818.37
559,6637.52
560,6468.31
561,6312.84
562,6171.45
563,6042.15
564,5923.48
565,5817.71
566,5724.69
567,5637.64
568,5552.69
569,5472.85
570,5397.87
571,5327.8
572,5266.08
573,5208.23
574,5157.06
575,5108.87
576,5059.91
577,5015.22
578,4974.99
579,4939.22
580,4907.36
581,4874.68
582,4843.98
583,4819.81
584,4796.59
585,4776.34
586,4757.54
587,4741.63
588,4727.71
589,4717.89
590,4713.9
591,4714.45
592,4716.57
593,4717.82
594,4720.51
595,4728.2
596,4736.68
597,4747.44
598,4761.2
599,4777.4
600,4797.98
601,4823.29
602,4856.29
603,4892.98
604,4931.66
605,4978.15
606,5034.68
607,5100.71
608,5181.51
609,5273.51
610,5375.6
611,5493.89
612,5630.53
613,5787.26
614,5967.34
615,6178.89
616,6424.78
617,6700.11
618,6997.74
619,7309.69
620,7630.48
621,7947.7
622,8240.49
623,8486.33
624,8652.25
625,8728.79
626,8715.59
627,8626.3
628,8471.44
629,8262.36
630,8023.38
631,7773.79
632,7527.32
633,7299.31
634,7102.08
635,6935.34
636,6800.86
637,6701.82
638,6646.1
639,6625.74
640,6641.08
641,6695.89
642,6783.42
643,6907.28
644,7065.62
645,7253.14
646,7454.74
647,7668.11
648,7888.23
649,8096.44
650,8273.21
651,8392.09
652,8438.55
653,8414.18
654,8324.58
655,8168.94
656,7959.47
657,7706.61
658,7427.25
659,7133.17
660,6840.26
661,6555.65
662,6278.43
663,6013.59
664,5775.35
665,5554.88
666,5356.56
667,5176.52
668,5012.93
669,4865.31
670,4734.33
671,4617.02
672,4513.15
673,4422.32
674,4336.04
675,4258.6
676,4193.21
677,4131.38
678,4072.98
679,4018.34
680,3968.27
681,3922.98
682,3878.38
683,3833.16
684,3795.29
685,3763.13
686,3731.53
687,3701.29
688,3670.67
689,3638.31
690,3608.75
691,3581.46
692,3558.22
693,3536.8
694,3514.99
695,3490.98
696,3470.29
697,3449.52
698,3430.91
699,3413.21
700,3393.41
701,3373.65
702,3355.61
703,3335.23
704,3317.57
705,3300.8
706,3281.7
707,3262.95
708,3246.82
709,3231.43
710,3215.37
711,3200.01
712,3187.68
713,3176.2
714,3163.95
715,3154.38
716,3145.25
717,3136.11
718,3128.22
719,3119.92
720,3111.99
721,3106.87
722,3103.8
723,3100.54
724,3091.38
725,3084.44
726,3076.64
727,3073.61
728,3077.7
729,3081.67
730,3086.05
731,3091.63
732,3098.55
733,3105.49
734,3115.95
735,3129.71
736,3145.8
737,3165.6
738,3189.33
739,3216.5
740,3246.73
741,3280.22
742,3319.8
743,3363.76
744,3411.73
745,3462.11
746,3520.75
747,3582.17
748,3643.47
749,3704.43
750,3766.79
751,3821.2
752,3863.15
753,3894.61
754,3907.59
755,3898.56
756,3871.44
757,3825.89
758,3764.69
759,3696.22
760,3630.24
761,3559.61
762,3480.92
763,3402.6
764,3330.65
765,3268.8
766,3210.36
767,3155.41
768,3102.71
769,3057.16
770,3018.97
771,2983.26
772,2953.2
773,2926.36
774,2901.98
775,2878.04
776,2855.89
777,2840.37
778,2823.4
779,2810.02
780,2801.26
781,2792.06
782,2783.83
783,2778.85
784,2777.16
785,2775.87
786,2772.9
787,2772.3
788,2774.75
789,2777.08
790,2778.78
791,2784.45
792,2793.23
793,2804.08
794,2812.82
795,2822.21
796,2837
797,2855.47
798,2873.16
799,2892.68
800,2917.07
801,2944.96
802,2975.96
803,3009.03
804,3046.53
805,3088.31
806,3133.68
807,3186.35
808,3243.25
809,3305.6
810,3379.33
811,3459.99
812,3548.24
813,3644.94
814,3752.03
815,3867.86
816,3987.17
817,4105.16
818,4218.58
819,4323.26
820,4417.89
821,4498.66
822,4559.14
823,4601.2
824,4629.93
825,4650.69
826,4670.71
827,4694.94
828,4731.74
829,4779.7
830,4846.65
831,4946.97
832,5082.38
833,5256.42
834,5470.98
835,5720.93
836,6003.82
837,6315.38
838,6644.14
839,6966.22
840,7251.64
841,7480.91
842,7633.09
843,7691.06
844,7643.56
845,7493.68
846,7264.95
847,6978.77
848,6655.42
849,6313.2
850,5966.89
851,5620.64
852,5290.02
853,4977.9
854,4694.21
855,4439.88
856,4209.39
857,4003.76
858,3822.37
859,3664.02
860,3528.12
861,3409.98
862,3305.16
863,3209.79
864,3123.62
865,3047.7
866,2981.43
867,2921.29
868,2867.42
869,2821.2
870,2778.12
871,2738.11
872,2702.68
873,2671.67
874,2643.39
875,2617.8
876,2592.97
877,2568.16
878,2548.74
879,2531.1
880,2516.28
881,2504.24
882,2493.84
883,2481.24
884,2466.96
885,2458.9
886,2453.05
887,2448.14
888,2446.3
889,2447.92
890,2449.96
891,2452.6
892,2456.58
893,2463.77
894,2471.29
895,2479.72
896,2496.23
897,2505.31
898,2494.66
899,2494.65
