r.px, i
458,1570.49
459,1561.83
460,1554.26
461,1551.39
462,1549.6
463,1548.01
464,1547.83
465,1547.89
466,1550.9
467,1560.55
468,1575.52
469,1595.49
470,1622.58
471,1664.94
472,1722.28
473,1791.37
474,1869.77
475,1956.23
476,2041.45
477,2116.29
478,2165.27
479,2181.37
480,2164.38
481,2112.78
482,2031.52
483,1945.09
484,1865.76
485,1793.79
486,1729.17
487,1670
488,1613.2
489,1562.53
490,1520.55
491,1485.5
492,1452.29
493,1418.41
494,1387.23
495,1362.61
496,1341.88
497,1323.63
498,1306.38
499,1289.33
500,1277.12
501,1268.27
502,1258.11
503,1246.04
504,1236.02
505,1229.61
506,1223.69
507,1217.95
508,1211.55
509,1204.17
510,1197.21
511,1191.01
512,1183.48
513,1174.48
514,1166.78
515,1161.52
516,1157.52
517,1155.12
518,1153.72
519,1151.22
520,1146.31
521,1141.66
522,1136.83
523,1131.79
524,1129.44
525,1125.83
526,1118.91
527,1113.64
528,1110.3
529,1107.42
530,1103.74
531,1100.67
532,1099.46
533,1099.42
534,1098.12
535,1095.36
536,1092.3
537,1090.66
538,1090.98
539,1092.97
540,1093.45
541,1092.48
542,1091.16
543,1092.22
544,1097.5
545,1106.79
546,1116.26
547,1127.28
548,1140.73
549,1156.68
550,1174.42
551,1190.49
552,1201.07
553,1208.05
554,1210.12
555,1207.55
556,1198.81
557,1184.94
558,1167.36
559,1147.85
560,1129.38
561,1109.8
562,1090.84
563,1074.38
564,1061.22
565,1050.91
566,1040.79
567,1030.37
568,1022.96
569,1017.46
570,1011.62
571,1007.01
572,1003.03
573,998.936
574,995.424
575,993.374
576,993.546
577,996.274
578,1000.15
579,1003.89
580,1006.55
581,1008.52
582,1012.3
583,1015.6
584,1018.66
585,1020.72
586,1021.87
587,1022.35
588,1019.58
589,1015.15
590,1010.8
591,1007.03
592,1002.53
593,998.2
594,993.871
595,988.81
596,983.333
597,978.405
598,974.437
599,973.177
600,972.084
601,970.943
602,969.56
603,970.087
604,972.228
605,976.083
606,980.215
607,984.603
608,992.004
609,1003.43
610,1017.66
611,1035.73
612,1058.16
613,1083.18
614,1109.4
615,1135.35
616,1159.53
617,1178.22
618,1190.01
619,1195.78
620,1196.3
621,1190.69
622,1181.1
623,1166.37
624,1149.83
625,1133.21
626,1117.74
627,1103.13
628,1089.63
629,1078.85
630,1068.51
631,1055.83
632,1040.52
633,1028.13
634,1018.59
635,1009.55
636,1002.69
637,998.84
638,998.89
639,1002.58
640,1009.18
641,1017.84
642,1028.15
643,1045.85
644,1068.05
645,1090.19
646,1108.32
647,1122.15
648,1130.7
649,1132.26
650,1128.06
651,1118.72
652,1107.08
653,1094.89
654,1081.85
655,1068.35
656,1052.8
657,1037.64
658,1023.25
659,1009.98
660,999.19
661,986.999
662,975.279
663,967.282
664,959.909
665,952.202
666,947.028
667,944.859
668,943.69
669,941.877
670,941.255
671,945.563
672,951.242
673,956.977
674,965.118
675,975.022
676,983.259
677,987.691
678,989.795
679,987.271
680,980.669
681,972.67
682,964.266
683,957.379
684,949.12
685,939.615
686,929.955
687,921.428
688,911.543
689,901.994
690,892.545
691,882.929
692,876.987
693,871.836
694,866.672
695,860.739
696,853.316
697,846.188
698,840.829
699,838.097
700,835.626
701,832.554
702,829.055
703,823.886
704,820.021
705,816.715
706,812.818
707,807.38
708,802.39
709,798.55
710,793.889
711,789.271
712,785.702
713,782.289
714,778.279
715,773.922
716,767.843
717,763.388
718,760.891
719,758.978
720,757.586
721,758.053
722,760.52
723,764.899
724,771.17
725,781.937
726,797.448
727,817.602
728,839.752
729,860.283
730,879.302
731,893.611
732,900.243
733,899.808
734,892.404
735,879.719
736,865.13
737,847.806
738,827.428
739,803.604
740,778.615
741,754.853
742,732.891
743,713.332
744,694.121
745,676.37
746,661.121
747,646.869
748,632.144
749,619.154
750,609.042
751,599.604
752,590.237
753,581.886
754,574.663
755,568.614
756,563.609
757,559.143
